x50,I50,x100,I100,x200,I200,x1,I1,x2,I2,x3,I3
0.00045,8.748,0.0001875,7.366,0.0015,5.481,0.0,1.8827,0.0,1.688,0.0,1.6777
0.0004875,9.082,0.0003375,7.322,0.0016,5.429,0.0,1.8596,3.75e-05,1.6697,3.75e-05,1.6353
0.0005625,9.123,0.0004875,7.659,0.0018,5.496,3.75e-05,1.8229,0.0001125,1.6372,7.5e-05,1.7035
0.0006,9.259,0.0006375,7.649,0.0019,5.572,3.75e-05,1.8554,0.0001875,1.6055,0.0001125,1.6876
0.000675,9.276,0.0007875,7.446,0.002,5.517,3.75e-05,1.8857,0.000225,1.674,0.00015,1.6819
0.0007125,9.584,0.0009375,7.304,0.0022,5.451,3.75e-05,1.8658,0.0003,1.6369,0.000225,1.6345
0.0007875,9.606,0.0011,7.459,0.0023,5.519,3.75e-05,1.8215,0.0003375,1.6107,0.0002625,1.7109
0.000825,9.743,0.0012,7.431,0.0024,5.553,3.75e-05,1.8688,0.0004125,1.5877,0.0003,1.7084
0.0009,9.725,0.0013,7.439,0.0026,5.52,0.0001125,1.8977,0.0004875,1.6235,0.000375,1.7016
0.0009375,9.904,0.0014,7.381,0.0027,5.466,0.00015,1.8713,0.0005625,1.59,0.0004125,1.667
0.001,9.901,0.0015,7.456,0.0029,5.545,0.0001875,1.8344,0.0006375,1.5628,0.0004875,1.7569
0.001,9.979,0.0016,7.401,0.003,5.588,0.000225,1.9101,0.0007125,1.5376,0.0005625,1.7397
0.0011,9.886,0.0018,7.342,0.0031,5.524,0.0002625,1.912,0.000825,1.5833,0.0006375,1.7245
0.0012,10.078,0.0019,7.212,0.0033,5.479,0.0003,1.9239,0.0009,1.5504,0.0007125,1.7062
0.0012,10.144,0.002,7.267,0.0034,5.548,0.000375,1.8903,0.001,1.5108,0.000825,1.7835
0.0013,10.151,0.0021,7.209,0.0035,5.602,0.0004125,1.9671,0.0011,1.5003,0.0009,1.76
0.0013,10.112,0.0022,7.087,0.0037,5.552,0.0004875,1.9878,0.0012,1.5457,0.000975,1.7693
0.0013,10.417,0.0024,7.01,0.0038,5.497,0.0005625,1.9695,0.0012,1.5298,0.0011,1.7505
0.0014,10.451,0.0025,7.234,0.0039,5.608,0.000675,1.9574,0.0013,1.5308,0.0012,1.8317
0.0014,10.483,0.0026,7.089,0.004,5.652,0.00075,1.9824,0.0014,1.5193,0.0013,1.8137
0.0015,10.479,0.0028,7.011,0.0041,5.601,0.0008625,2.0565,0.0015,1.5685,0.0014,1.8298
0.0015,10.735,0.0029,6.858,0.0042,5.543,0.000975,2.0439,0.0016,1.5565,0.0015,1.8061
0.0015,10.736,0.0031,6.903,0.0043,5.534,0.001,2.0288,0.0017,1.5665,0.0016,1.8835
0.0016,10.827,0.0032,6.829,0.0044,5.661,0.0012,2.0643,0.0018,1.5829,0.0018,1.861
0.0016,10.853,0.0033,6.889,0.0045,5.617,0.0013,2.1285,0.0018,1.6387,0.0019,1.8619
0.0016,11.064,0.0035,6.824,0.0046,5.549,0.0014,2.1199,0.0019,1.6568,0.0019,1.8469
0.0016,11.182,0.0036,6.947,0.0047,5.558,0.0015,2.0686,0.002,1.6751,0.0021,1.9143
0.0017,11.251,0.0037,6.9,0.0048,5.711,0.0017,2.0833,0.0021,1.7382,0.0022,1.8943
0.0017,11.252,0.0038,6.844,0.0049,5.665,0.0018,2.1017,0.0022,1.7946,0.0023,1.8988
0.0017,11.38,0.0039,6.763,0.005,5.59,0.0019,2.09,0.0023,1.8437,0.0024,1.8598
0.0018,11.436,0.0039,6.836,0.0051,5.604,0.0021,1.9978,0.0024,1.8585,0.0025,1.9107
0.0018,11.492,0.004,6.846,0.0051,5.737,0.0022,2.0063,0.0025,1.9312,0.0026,1.8879
0.0018,11.434,0.004,6.812,0.0053,5.697,0.0023,2.0045,0.0026,1.9993,0.0027,1.8829
0.0018,11.598,0.0041,6.734,0.0053,5.635,0.0024,1.9871,0.0027,2.0533,0.0028,1.8383
0.0018,11.591,0.0041,6.909,0.0054,5.678,0.0025,1.8749,0.0027,2.083,0.0029,1.8848
0.0019,11.651,0.0041,6.92,0.0056,5.762,0.0026,1.9185,0.0028,2.1325,0.003,1.8611
0.0019,11.651,0.0041,6.873,0.0056,5.73,0.0027,1.9447,0.0029,2.1913,0.0031,1.8652
0.0019,11.821,0.0041,6.731,0.0057,5.678,0.0027,1.897,0.003,2.2379,0.0032,1.8076
0.0019,11.778,0.0041,6.951,0.0059,5.724,0.0028,1.8623,0.0031,2.2614,0.0033,1.8549
0.002,11.809,0.0041,6.923,0.006,5.824,0.0029,1.8614,0.0032,2.251,0.0034,1.8174
0.002,11.825,0.0041,6.884,0.0061,5.804,0.0029,1.8943,0.0033,2.3748,0.0035,1.824
0.002,11.906,0.0041,6.855,0.0062,5.723,0.003,1.8509,0.0033,2.3788,0.0035,1.7612
0.0021,11.884,0.0041,6.942,0.0063,5.764,0.003,1.82,0.0035,2.4235,0.0036,1.8203
0.0021,11.943,0.0041,6.882,0.0064,5.855,0.0031,1.83,0.0036,2.4152,0.0037,1.7807
0.0021,11.827,0.0041,6.847,0.0065,5.832,0.0031,1.846,0.0037,2.5122,0.0038,1.7669
0.0021,11.931,0.0041,6.8,0.0066,5.836,0.0032,1.8214,0.0038,2.4933,0.0039,1.7183
0.0021,11.938,0.0041,6.951,0.0068,5.833,0.0032,1.78,0.0039,2.4591,0.004,1.7734
0.0022,11.985,0.0041,6.907,0.0069,5.923,0.0033,1.8211,0.004,2.4319,0.0041,1.728
0.0022,11.881,0.0041,6.865,0.007,5.839,0.0033,1.8363,0.0041,2.4546,0.0041,1.731
0.0022,12.005,0.0041,6.707,0.0072,5.794,0.0033,1.7975,0.0043,2.4086,0.0042,1.6928
0.0022,12.015,0.0041,6.868,0.0073,5.793,0.0033,1.7708,0.0044,2.305,0.0043,1.7285
0.0022,12.029,0.0041,6.94,0.0074,5.882,0.0034,1.8106,0.0045,2.241,0.0044,1.6959
0.0023,11.962,0.0041,6.944,0.0075,5.808,0.0034,1.8188,0.0047,2.1948,0.0045,1.7003
0.0023,12.15,0.0041,6.817,0.0077,5.752,0.0034,1.7996,0.0048,2.1084,0.0045,1.6578
0.0023,12.097,0.0041,6.914,0.0078,5.746,0.0035,1.7518,0.0049,1.9657,0.0046,1.7064
0.0023,12.154,0.0041,6.76,0.0079,5.796,0.0035,1.7978,0.005,1.895,0.0047,1.6809
0.0023,12.135,0.0041,6.807,0.0081,5.702,0.0035,1.798,0.0052,1.8398,0.0048,1.6928
0.0024,12.28,0.0041,6.823,0.0083,5.647,0.0036,1.7915,0.0053,1.7728,0.0049,1.6672
0.0024,12.267,0.0041,6.914,0.0084,5.645,0.0036,1.7398,0.0054,1.6791,0.005,1.7196
0.0024,12.363,0.0041,6.895,0.0086,5.676,0.0036,1.7947,0.0055,1.6504,0.0051,1.721
0.0025,12.349,0.0041,6.897,0.0088,5.58,0.0037,1.7897,0.0057,1.6938,0.0052,1.7376
0.0025,12.475,0.0041,6.749,0.009,5.536,0.0038,1.7881,0.0058,1.6716,0.0053,1.7061
0.0025,12.567,0.0041,6.948,0.0091,5.544,0.0038,1.7407,0.006,1.6948,0.0053,1.7965
0.0026,12.687,0.0041,6.919,0.0093,5.574,0.0039,1.7924,0.0061,1.7359,0.0054,1.814
0.0026,12.618,0.0041,6.818,0.0095,5.482,0.004,1.807,0.0062,1.829,0.0055,1.8464
0.0026,12.796,0.0041,6.793,0.0096,5.441,0.0041,1.7946,0.0063,1.9288,0.0056,1.8184
0.0027,12.845,0.0041,6.99,0.0098,5.51,0.0042,1.7476,0.0064,2.022,0.0057,1.9564
0.0027,12.868,0.0041,6.922,0.0099,5.558,0.0043,1.8284,0.0066,2.1532,0.0058,1.9802
0.0027,12.861,0.0041,6.878,0.01,5.522,0.0044,1.8366,0.0067,2.2956,0.0059,2.0246
0.0027,13.012,0.0041,6.758,0.0101,5.463,0.0045,1.8262,0.0068,2.4677,0.0059,2.0099
0.0027,12.974,0.0041,6.872,0.0102,5.508,0.0047,1.8226,0.0069,2.5648,0.006,2.1501
0.0027,13.04,0.0041,6.843,0.0104,5.559,0.0048,1.8388,0.007,2.7321,0.0061,2.1623
0.0028,12.955,0.0041,6.9,0.0105,5.519,0.0049,1.9525,0.0071,2.8679,0.0062,2.2088
0.0028,13.127,0.0041,6.815,0.0106,5.469,0.0051,1.9583,0.0072,3.0271,0.0062,2.2039
0.0028,13.149,0.0041,6.964,0.0107,5.55,0.0052,1.9497,0.0073,3.1191,0.0063,2.3437
0.0028,13.129,0.0041,6.941,0.0108,5.588,0.0054,1.994,0.0074,3.2746,0.0063,2.3679
0.0028,13.064,0.0041,6.87,0.011,5.593,0.0056,2.0921,0.0075,3.3862,0.0064,2.4045
0.0029,13.228,0.0041,6.857,0.0111,5.528,0.0058,2.1053,0.0075,3.4711,0.0065,2.4189
0.0029,13.142,0.0041,6.972,0.0112,5.608,0.006,2.0884,0.0076,3.517,0.0066,2.5451
0.0029,13.197,0.0041,6.84,0.0114,5.638,0.0062,2.1178,0.0077,3.5961,0.0066,2.5675
0.0029,13.139,0.0041,6.825,0.0115,5.574,0.0063,2.1457,0.0078,3.6612,0.0067,2.6037
0.003,13.27,0.0041,6.769,0.0116,5.516,0.0065,2.1098,0.0079,3.6969,0.0067,2.6202
0.003,13.284,0.0041,6.881,0.0117,5.61,0.0067,2.0076,0.008,3.6939,0.0068,2.7442
0.003,13.308,0.0041,6.9,0.0119,5.641,0.0069,2.0303,0.0081,3.7095,0.0068,2.746
0.0031,13.188,0.0041,6.926,0.012,5.614,0.0071,2.0181,0.0081,3.7451,0.0069,2.7684
0.0032,13.368,0.0041,6.788,0.0122,5.546,0.0073,1.9736,0.0082,3.7047,0.0069,2.7833
0.0032,13.306,0.0041,6.904,0.0123,5.519,0.0074,1.873,0.0083,3.6944,0.007,2.8779
0.0033,13.313,0.0041,6.899,0.0124,5.642,0.0076,1.9142,0.0083,3.6453,0.0071,2.9056
0.0033,13.227,0.0041,6.891,0.0126,5.575,0.0078,1.9389,0.0084,3.6658,0.0071,2.9349
0.0034,13.324,0.0041,6.828,0.0127,5.47,0.0079,1.8781,0.0085,3.5911,0.0072,2.9291
0.0034,13.306,0.0041,6.952,0.0129,5.448,0.0081,1.848,0.0086,3.5467,0.0073,3.0311
0.0035,13.358,0.0041,6.883,0.0131,5.562,0.0082,1.8719,0.0086,3.4614,0.0073,3.035
0.0035,13.262,0.0041,6.88,0.0133,5.49,0.0084,1.8994,0.0087,3.4673,0.0074,3.0557
0.0036,13.472,0.0041,6.796,0.0135,5.365,0.0085,1.9027,0.0087,3.3537,0.0074,3.0541
0.0036,13.389,0.0041,6.905,0.0137,5.361,0.0087,1.8986,0.0088,3.2785,0.0075,3.1243
0.0037,13.454,0.0041,6.88,0.0139,5.443,0.0088,1.9381,0.0089,3.1585,0.0076,3.0936
0.0038,13.445,0.0041,6.848,0.0141,5.383,0.0089,1.9934,0.0089,3.153,0.0077,3.0976
0.0038,13.594,0.0041,6.779,0.0143,5.323,0.009,2.001,0.009,3.001,0.0077,3.0452
0.0038,13.54,0.0041,6.992,0.0145,5.356,0.0092,1.9949,0.0091,2.9256,0.0078,3.1272
0.0038,13.599,0.0042,6.983,0.0147,5.492,0.0093,2.0794,0.0092,2.7774,0.0078,3.0891
0.0039,13.496,0.0043,6.921,0.0149,5.464,0.0093,2.1211,0.0092,2.7326,0.0079,3.0506
0.0039,13.622,0.0044,6.89,0.0151,5.455,0.0095,2.1325,0.0093,2.5427,0.008,3.0149
0.0039,13.673,0.0045,7.087,0.0153,5.519,0.0095,2.1097,0.0094,2.457,0.008,3.0631
0.0039,13.613,0.0045,7.07,0.0155,5.689,0.0096,2.1822,0.0095,2.3203,0.0081,3.0553
0.0039,13.549,0.0046,7.071,0.0158,5.698,0.0097,2.2011,0.0096,2.2796,0.0081,2.9904
0.004,13.707,0.0047,7.04,0.0159,5.691,0.0098,2.1953,0.0096,2.1917,0.0082,2.9499
0.004,13.671,0.0048,7.161,0.0161,5.753,0.0098,2.1619,0.0097,2.0738,0.0083,2.9645
0.004,13.744,0.0048,7.156,0.0163,5.928,0.0099,2.2455,0.0098,1.9983,0.0083,2.9413
0.0041,13.672,0.0049,7.185,0.0165,5.919,0.0099,2.258,0.0098,2.0028,0.0084,2.8725
0.0041,13.78,0.005,7.131,0.0167,5.848,0.01,2.2382,0.0099,1.9656,0.0084,2.821
0.0041,13.767,0.0051,7.295,0.0169,5.902,0.0101,2.2093,0.0099,1.906,0.0085,2.8339
